Last Name, First Name	Score	Grade
Ellington, Jame	58	F
Lanham, Malcolm	95	A
Layne, Casandra	68	D
Hoyt, Laquita	72	C
Shuman, Robert	87	B
Simpson, Ona	94	A
Beatty, Jaylene	68	D
Doucette, Ted	65	D
Larue, Emogene	81	B
Field, Jill	45	F
Adame, Devon	98	A
Herbst, Aidan	85	B
Courtney, Isabel	78	C
Tomlin, Ellen	72	C
Willard, Krista	94	A
Silvers, Damon	92	A
Aguiar, Dudley	67	D
Walsh, Joe	78	C
Rey, Alvino	72	C
Conger, Garett	86	B
Kidder, Harris	92	A
Brody, Irwin	55	F
Tindall, Jacob	89	B
Fultz, James	77	C
South, Jerald	87	B
Layman, Lanny	90	A
Armstrong, Phyllis	67	D
Cross, Shaina	84	B
Stevenson, Shaniya	91	A
Son, Bernardo	40	F
